;\daten\info\skalen\?SPRACHE?\;;Die Skalen-Info-Texte müssen in folgendem Verzeichnis liegen (SPRACHE ist abhängig von der Primär definierten Sprache de-DE oder fr-FR).;
;allowIntervPlaningForContext;0=deaktiviert<br>1=aktiviert;Erlaubt einer bestimmten Personengruppe ein definiertes Maßnahmen-Cluster zu planen (für Mobilen Dienste Österreich). // Änderungsmöglichkeit von geplanten Maßnahmen für Hilfskräfte (Im Freitextfeld können Hilfskräfte Ergänzungen hinzufügen).;
;allowIntervReworkForContext;0=deaktiviert<br>1=aktiviert;Erlaubt einer bestimmten Personengruppe geplante Maßnahmen im Durchführungsnachweis direkt zu verändern ohne in den Bearbeitungsmodus zu gehen (für SHD Luxemburg) // DB: Tabelle GR_ALLOW_REWORK_PLAN<br>QUALI_ID = Wert aus GR_SYSLISTTEXT, also der Filter, der bei der Maßnahme geplant sein muss, damit sie bearbeitbar für Hilfskräfte wird<br>FUNKGR_ID= FUNKGR_ID aus PERS_FUNKTIONS, die Personengruppe, die dann die Maßnahmen im obigen Filter verändern darf.;
;AllowSystemTimeshiftToServer;0=deaktiviert<br>1=aktiviert;WINDOWSZEIT DARF NICHT MEHR WIE 5 MINUTEN ABWEICHEN, ansonsten gibt es eine Warnmeldung und GRIPS wird beendet. Dies kann durch den Parameter umgangen werden. Darf NUR INTERN benutzt werden !!;INTERN
;askforreasonsondefinitions;0=deaktiviert<br>1=aktiviert;Begründung für Absetzung eines Medikamentes muss zwingend eingegeben werden.<br>Arztauswahl, der die Absetzung verordnet hat.;
;askforreasonsonsignoffs;0=deaktiviert<br>1=aktiviert;"Begründung für außerplanmäßige Gabe von Maßnahmen muss zwingend eingegeben werden.
<br> Bsp.: Medi-Gabe war geplant für 08:00 Uhr, wurde aber um 10:00 Uhr gegeben = Begründung erforderlich.";
;AssertSqlContradiction;0=Unterbinden<br>1=Aktiv lassen (Standard);Opt-Out: Prüfung auf Kontradiktion (z.B. 'where 1=0') in den Statements unterbinden.;
;AutoFillPatNrAufNr;0=deaktiviert<br>1=aktiviert;Wenn keine PatNR und oder Aufnr bekannt ist zur Eingabe, dann werden generische Pseudowerte erstellt.;
;AvoidSameNameGebDat;0=deaktiviert<br>1=aktiviert;Vermeidet, dass Patienten mit dem selben Namen und Geburtsdatum doppelt angelegt werden.;
;AvoidSameNameGebDatSVersNum;0=deaktiviert<br>1=aktiviert;Vermeidet, dass Patienten mit dem selben Namen, Geburtsdatum und Matricule (Sozialversicherungsnummer) doppelt angelegt werden.;
;CharismaAddress=http://[IP-Adresse]:[Port]/api/;;Wenn Charisma-URL in GRIPS ini gesetzt, dann läuft der GDB über Charisma.<br>Wenn Eintrag nicht vorhanden, dann funktioniert GDB ohne Charisma.;
;definitionsMode;0=deaktiviert<br>1=aktiviert;Aktiviert den Pflegeaufwandsänderungsmodus im Interventionsdialog (PPR) + Mikrostandardzuordnung.;
;deleteAnamnesisGroup;0=deaktiviert<br>1=aktiviert;"Im Anamnese-Formular erscheint unten der Button ""Anamnese leeren"" für das Löschen von Anamnese-Bereichen .";
;deleteCareEvaluationGroup;0=deaktiviert<br>1=aktiviert;"Im Pflegevisiten-Formular erscheint unten der Button ""Pflegevisite leeren"" für das Löschen von Pflegevisiten-Bereichen .";
;documentLookup;0=deaktiviert<br>1=aktiviert;Beim Speichern einer Anamnese werden Anamnese-Daten in die Datenbank-Tabelle gr_documentlookup geschrieben.;
;doELGAExport;0=deaktiviert<br>1=aktiviert;ELGA Export aktivieren.<br>Button auf PatientForm wird aktiviert.;
;doNotReloadPatList_AnamChange;0=deaktiviert<br>1=aktiviert;"Sorgt dafür, dass bei Start über die GRIPS-Starter.exe beim Speichern einer Anamnese nicht alle Patienten/Klienten im Navigator neu geladen werden.
<br>Dies macht vor allem bei den großen mobilen Diensten Probleme, da die tausende von Patienten/Klienten auf einer ""Station"" haben = Performanceprobleme.";ILOGS, Volkshilfe-Wien
;doNotShowEigenePflegeDiagnosen;0=deaktiviert<br>1=aktiviert;Im ENP-Baum den Eintrag „Zusätzliche Pflegeprobleme“ ausblenden.;
;DosingAddress=vaid.local.recom.lan;;Stellt die Verbindung zum Dosing-Service her.;
;DruckDialogVorAusdruck;0=deaktiviert<br>1=aktiviert;Blendet den Druckdialog ein, in diesem kann der Drucker ausgewählt werden.;
;"ELGA-Config<br>
dir=C:\Grips_Projekt\ELGA_CDA\ELGA_DOCs<br>
show=true";;Parameter für ELGA Export exe.;
;ELGAStartExeWithPath=.\elga_cda.exe;;Parameter für ELGA Export exe.;
;ELGAStartExeWithPath=C:\Grips_Projekt\ELGA_CDA\elga_cda.exe;;Parameter für ELGA Export exe.;
;EnableLoggingOfExceptionsToDatabase;0=deaktiviert<br>1=aktiviert;MadExcept: Aktiviert die Speicherung der Exceptions in der Tabelle gr_exception_logs.;
;enablesqlmonitorsupport;0=deaktiviert<br>1=aktiviert;Exceptions und Debuggen.;
;Environment=Testsystem;;Zeigt den definierten Wert in der Titelleiste an.;
;ExecuteMigrationsOnStartUp;0=deaktiviert<br>1=aktiviert;Fehlende Migrationen beim Start ausführen.;
